,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
0,2.40,2.40,2012-12-31,2.42,2.28,2.29,AMD,20698200
1,2.28,2.28,2012-12-28,2.36,2.25,2.30,AMD,26210200
2,2.39,2.39,2012-12-27,2.43,2.34,2.42,AMD,18485500
3,2.43,2.43,2012-12-26,2.53,2.42,2.49,AMD,12798000
4,2.48,2.48,2012-12-24,2.57,2.47,2.54,AMD,9625400
5,2.59,2.59,2012-12-21,2.59,2.25,2.33,AMD,40732900
6,2.40,2.40,2012-12-20,2.53,2.37,2.53,AMD,24819400
7,2.52,2.52,2012-12-19,2.57,2.49,2.55,AMD,20586800
8,2.52,2.52,2012-12-18,2.53,2.47,2.50,AMD,26636300
9,2.46,2.46,2012-12-17,2.46,2.39,2.41,AMD,15273300
10,2.39,2.39,2012-12-14,2.44,2.39,2.43,AMD,16552900
11,2.41,2.41,2012-12-13,2.44,2.38,2.40,AMD,25069800
12,2.37,2.37,2012-12-12,2.44,2.36,2.37,AMD,24565900
