,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
0,57.189999,57.189999,2016-10-11,58.02,56.889999,57.889999,MSFT,26442100
1,58.040001,58.040001,2016-10-10,58.389999,57.869999,57.91,MSFT,18196500
2,57.799999,57.799999,2016-10-07,57.98,57.419998,57.849998,MSFT,20089000
3,57.740002,57.740002,2016-10-06,57.860001,57.279999,57.740002,MSFT,16212600
4,57.639999,57.639999,2016-10-05,57.959999,57.259998,57.290001,MSFT,16726400
5,57.240002,57.240002,2016-10-04,57.599998,56.970001,57.27,MSFT,20085900
6,57.419998,57.419998,2016-10-03,57.549999,57.060001,57.41,MSFT,19189500
7,57.599998,57.599998,2016-09-30,57.77,57.34,57.57,MSFT,29910800
8,57.400002,57.400002,2016-09-29,58.169998,57.209999,57.810001,MSFT,25463500
9,58.029999,58.029999,2016-09-28,58.060001,57.669998,57.880001,MSFT,20536400
10,57.950001,57.950001,2016-09-27,58.060001,56.68,56.93,MSFT,28065100
11,56.900002,56.900002,2016-09-26,57.139999,56.830002,57.080002,MSFT,21688700
12,57.43,57.43,2016-09-23,57.91,57.380001,57.869999,MSFT,19955300
13,57.82,57.82,2016-09-22,58.00,57.630001,57.919998,MSFT,19822200
14,57.759998,57.759998,2016-09-21,57.849998,57.080002,57.509998,MSFT,33707300
15,56.810001,56.810001,2016-09-20,57.349998,56.75,57.349998,MSFT,17384000
16,56.93,56.93,2016-09-19,57.75,56.849998,57.27,MSFT,20937100
17,57.25,57.25,2016-09-16,57.630001,56.75,57.630001,MSFT,44607000
18,57.189999,57.189999,2016-09-15,57.349998,55.98,56.150002,MSFT,26847000
19,56.259998,56.259998,2016-09-14,56.630001,56.029999,56.389999,MSFT,24062500
20,56.529999,56.529999,2016-09-13,56.650002,56.049999,56.50,MSFT,30130200
21,57.049999,57.049999,2016-09-12,57.209999,55.610001,56.00,MSFT,29303000
22,56.209999,56.209999,2016-09-09,57.52,56.209999,56.790001,MSFT,35113900
23,57.43,57.43,2016-09-08,57.790001,57.18,57.630001,MSFT,20146100
24,57.66,57.66,2016-09-07,57.84,57.41,57.470001,MSFT,17493400
25,57.610001,57.610001,2016-09-06,57.799999,57.209999,57.779999,MSFT,16278400
26,57.669998,57.669998,2016-09-02,58.189999,57.419998,57.669998,MSFT,18900500
27,57.59,57.59,2016-09-01,57.82,57.009998,57.009998,MSFT,26075400
28,57.459999,57.459999,2016-08-31,57.799999,57.299999,57.650002,MSFT,20860300
29,57.889999,57.889999,2016-08-30,58.189999,57.610001,57.98,MSFT,16930200
30,58.099998,58.099998,2016-08-29,58.599998,58.099998,58.18,MSFT,16417200
31,58.029999,58.029999,2016-08-26,58.700001,57.689999,58.279999,MSFT,20971200
32,58.169998,58.169998,2016-08-25,58.290001,57.779999,57.880001,MSFT,18552600
33,57.950001,57.950001,2016-08-24,58.040001,57.720001,57.799999,MSFT,18151500
34,57.889999,57.889999,2016-08-23,58.18,57.849998,57.900002,MSFT,18732400
35,57.669998,57.669998,2016-08-22,57.75,57.259998,57.599998,MSFT,15221900
36,57.619999,57.619999,2016-08-19,57.73,57.200001,57.43,MSFT,17271000
37,57.599998,57.599998,2016-08-18,57.700001,57.27,57.419998,MSFT,14214300
38,57.560001,57.560001,2016-08-17,57.68,57.23,57.540001,MSFT,18856400
39,57.439999,57.439999,2016-08-16,57.619999,57.27,57.610001,MSFT,20523500
40,57.76,58.119999,2016-08-15,58.50,57.959999,58.009998,MSFT,19283900
41,57.581115,57.939999,2016-08-12,58.189999,57.619999,58.029999,MSFT,21655200
42,57.938886,58.299999,2016-08-11,58.450001,58.029999,58.029999,MSFT,18162300
43,57.660621,58.02,2016-08-10,58.32,57.82,58.16,MSFT,15756900
44,57.839507,58.200001,2016-08-09,58.50,58.02,58.169998,MSFT,16920700
45,57.700375,58.060001,2016-08-08,58.09,57.779999,58.060001,MSFT,19473500
46,57.600992,57.959999,2016-08-05,58.209999,57.450001,57.650002,MSFT,29335200
47,57.034523,57.389999,2016-08-04,57.52,56.669998,56.799999,MSFT,26587700
48,56.617126,56.970001,2016-08-03,57.110001,56.490002,56.68,MSFT,22075600
49,56.229542,56.580002,2016-08-02,56.900002,56.310001,56.849998,MSFT,35122000
