,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
0,18.00,18.00,2016-10-11,18.200001,17.65,18.18,TWTR,48851100
1,17.559999,17.559999,2016-10-10,18.24,16.93,17.49,TWTR,104967200
2,19.85,19.85,2016-10-07,20.530001,19.65,19.950001,TWTR,38495700
3,19.870001,19.870001,2016-10-06,21.00,19.60,20.459999,TWTR,108944700
4,24.870001,24.870001,2016-10-05,25.25,24.129999,24.32,TWTR,61602600
5,23.52,23.52,2016-10-04,23.790001,23.34,23.75,TWTR,21432300
6,24.00,24.00,2016-10-03,24.25,23.459999,23.780001,TWTR,37302300
7,23.049999,23.049999,2016-09-30,23.25,22.82,23.02,TWTR,16792400
8,23.01,23.01,2016-09-29,23.360001,22.860001,22.92,TWTR,26040400
9,22.959999,22.959999,2016-09-28,23.629999,22.440001,23.42,TWTR,43486800
10,23.719999,23.719999,2016-09-27,23.98,22.90,23.209999,TWTR,63927800
11,23.370001,23.370001,2016-09-26,23.57,21.65,21.790001,TWTR,94468500
12,22.620001,22.620001,2016-09-23,22.889999,21.110001,21.50,TWTR,190927700
13,18.629999,18.629999,2016-09-22,18.92,18.440001,18.52,TWTR,14848100
14,18.49,18.49,2016-09-21,18.50,18.129999,18.440001,TWTR,16154800
15,18.389999,18.389999,2016-09-20,18.639999,18.23,18.299999,TWTR,15690500
16,18.360001,18.360001,2016-09-19,19.24,18.280001,19.219999,TWTR,23199800
17,19.110001,19.110001,2016-09-16,19.25,18.74,18.90,TWTR,39966200
18,18.299999,18.299999,2016-09-15,18.42,18.059999,18.299999,TWTR,14452700
19,18.08,18.08,2016-09-14,18.389999,17.90,17.93,TWTR,16032900
20,17.76,17.76,2016-09-13,18.10,17.52,17.99,TWTR,15783000
21,18.15,18.15,2016-09-12,18.24,17.68,17.959999,TWTR,18133400
22,18.110001,18.110001,2016-09-09,18.82,17.92,18.40,TWTR,30708100
23,18.700001,18.700001,2016-09-08,19.309999,18.59,18.809999,TWTR,44853100
24,19.870001,19.870001,2016-09-07,20.65,19.799999,20.049999,TWTR,26270200
25,19.93,19.93,2016-09-06,20.139999,19.48,19.74,TWTR,24022700
26,19.549999,19.549999,2016-09-02,19.870001,19.35,19.620001,TWTR,19296500
27,19.50,19.50,2016-09-01,20.139999,19.27,19.370001,TWTR,39676300
28,19.209999,19.209999,2016-08-31,19.60,18.379999,18.389999,TWTR,34080500
29,18.379999,18.379999,2016-08-30,18.690001,18.32,18.59,TWTR,8269000
30,18.469999,18.469999,2016-08-29,18.549999,18.299999,18.389999,TWTR,11274300
31,18.299999,18.299999,2016-08-26,18.530001,18.10,18.40,TWTR,11208600
32,18.32,18.32,2016-08-25,18.65,18.23,18.33,TWTR,13064800
33,18.25,18.25,2016-08-24,18.969999,18.200001,18.799999,TWTR,16601100
34,18.690001,18.690001,2016-08-23,18.93,18.65,18.65,TWTR,14011200
35,18.549999,18.549999,2016-08-22,18.959999,18.52,18.950001,TWTR,17424500
36,18.98,18.98,2016-08-19,19.309999,18.76,18.959999,TWTR,16962500
37,19.00,19.00,2016-08-18,19.60,18.92,19.559999,TWTR,47070200
38,20.17,20.17,2016-08-17,20.440001,19.90,20.43,TWTR,22721200
39,20.40,20.40,2016-08-16,20.790001,20.290001,20.780001,TWTR,23230600
40,20.860001,20.860001,2016-08-15,21.10,19.83,19.85,TWTR,58516000
41,19.540001,19.540001,2016-08-12,19.709999,19.01,19.709999,TWTR,28209600
42,19.780001,19.780001,2016-08-11,19.83,19.110001,19.17,TWTR,30807900
43,19.040001,19.040001,2016-08-10,19.57,18.559999,18.67,TWTR,28482300
44,18.68,18.68,2016-08-09,18.790001,17.969999,18.17,TWTR,19105500
45,18.200001,18.200001,2016-08-08,18.48,17.93,18.25,TWTR,15502800
46,18.26,18.26,2016-08-05,18.58,18.139999,18.190001,TWTR,22811700
47,18.129999,18.129999,2016-08-04,18.309999,17.360001,17.57,TWTR,33119100
