,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
0,6.50,6.50,2016-10-11,6.84,6.38,6.80,AMD,32422200
1,6.84,6.84,2016-10-10,6.94,6.80,6.82,AMD,13764700
2,6.75,6.75,2016-10-07,6.96,6.62,6.92,AMD,33041600
3,6.96,6.96,2016-10-06,6.98,6.63,6.72,AMD,27037700
4,6.78,6.78,2016-10-05,7.01,6.70,6.97,AMD,30731100
5,6.97,6.97,2016-10-04,7.09,6.89,7.00,AMD,25739400
6,6.95,6.95,2016-10-03,7.15,6.87,6.95,AMD,30400200
7,6.91,6.91,2016-09-30,7.04,6.70,6.70,AMD,47305300
8,6.67,6.67,2016-09-29,6.73,6.54,6.57,AMD,30605500
9,6.59,6.59,2016-09-28,6.65,6.48,6.57,AMD,27849200
10,6.54,6.54,2016-09-27,6.58,6.29,6.45,AMD,30000900
11,6.32,6.32,2016-09-26,6.54,6.31,6.54,AMD,29830500
12,6.55,6.55,2016-09-23,6.65,6.31,6.31,AMD,60975800
13,6.37,6.37,2016-09-22,6.44,6.33,6.35,AMD,35766100
14,6.29,6.29,2016-09-21,6.32,6.14,6.20,AMD,33400800
15,6.17,6.17,2016-09-20,6.28,6.12,6.23,AMD,28975500
16,6.16,6.16,2016-09-19,6.28,6.08,6.12,AMD,37812400
17,6.05,6.05,2016-09-16,6.22,5.97,6.22,AMD,47741500
18,6.02,6.02,2016-09-15,6.20,5.95,6.09,AMD,52669500
19,6.04,6.04,2016-09-14,6.08,5.75,5.75,AMD,64251100
20,5.74,5.74,2016-09-13,5.95,5.66,5.92,AMD,50713200
21,5.94,5.94,2016-09-12,6.07,5.77,5.83,AMD,77876200
22,5.90,5.90,2016-09-09,6.24,5.85,6.23,AMD,170652000
23,6.23,6.23,2016-09-08,6.65,6.15,6.64,AMD,90693700
24,6.84,6.84,2016-09-07,7.07,6.78,7.05,AMD,57641800
25,7.34,7.34,2016-09-06,7.60,7.25,7.56,AMD,24048700
26,7.51,7.51,2016-09-02,7.64,7.38,7.49,AMD,18530400
27,7.35,7.35,2016-09-01,7.44,7.09,7.18,AMD,22266700
28,7.40,7.40,2016-08-31,7.52,7.28,7.52,AMD,18279500
29,7.49,7.49,2016-08-30,7.64,7.41,7.61,AMD,16022500
30,7.59,7.59,2016-08-29,7.79,7.57,7.72,AMD,16891800
31,7.67,7.67,2016-08-26,7.80,7.46,7.49,AMD,31321700
32,7.47,7.47,2016-08-25,7.49,7.20,7.49,AMD,16393600
33,7.43,7.43,2016-08-24,7.67,7.37,7.67,AMD,22855600
34,7.67,7.67,2016-08-23,7.74,7.53,7.66,AMD,27514200
35,7.58,7.58,2016-08-22,7.95,7.37,7.83,AMD,41442800
36,7.62,7.62,2016-08-19,8.00,7.22,7.24,AMD,74931600
37,7.04,7.04,2016-08-18,7.07,6.73,6.74,AMD,30635600
38,6.68,6.68,2016-08-17,6.75,6.61,6.70,AMD,13757600
39,6.78,6.78,2016-08-16,6.94,6.65,6.94,AMD,26721100
40,6.95,6.95,2016-08-15,6.97,6.78,6.79,AMD,28311900
41,6.73,6.73,2016-08-12,6.79,6.55,6.60,AMD,25442600
42,6.58,6.58,2016-08-11,6.59,6.46,6.50,AMD,13099000
43,6.49,6.49,2016-08-10,6.58,6.25,6.35,AMD,29035700
44,6.60,6.60,2016-08-09,6.78,6.54,6.75,AMD,16746500
45,6.68,6.68,2016-08-08,6.85,6.65,6.70,AMD,21462200
46,6.61,6.61,2016-08-05,6.76,6.47,6.56,AMD,20164000
47,6.47,6.47,2016-08-04,6.61,6.37,6.39,AMD,22411000
48,6.30,6.30,2016-08-03,6.45,6.15,6.18,AMD,23807800
49,6.26,6.26,2016-08-02,6.60,6.15,6.56,AMD,40816400
50,6.64,6.64,2016-08-01,6.92,6.57,6.89,AMD,26729000
51,6.86,6.86,2016-07-29,6.96,6.75,6.88,AMD,22580500
52,6.82,6.82,2016-07-28,6.98,6.74,6.79,AMD,27515600
53,6.85,6.85,2016-07-27,6.98,6.68,6.93,AMD,38567300
54,6.98,6.98,2016-07-26,7.16,6.71,6.76,AMD,81230600
55,6.70,6.70,2016-07-25,6.95,5.92,5.93,AMD,118328600
56,5.84,5.84,2016-07-22,5.97,5.45,5.73,AMD,101838300
57,5.22,5.22,2016-07-21,5.45,5.10,5.43,AMD,40242000
58,5.41,5.41,2016-07-20,5.50,5.40,5.48,AMD,20102400
59,5.41,5.41,2016-07-19,5.55,5.34,5.50,AMD,23439600
60,5.51,5.51,2016-07-18,5.57,5.13,5.19,AMD,38619400
61,5.14,5.14,2016-07-15,5.20,5.10,5.20,AMD,14219300
62,5.17,5.17,2016-07-14,5.24,5.06,5.15,AMD,20050100
63,5.09,5.09,2016-07-13,5.19,5.04,5.14,AMD,14032500
64,5.14,5.14,2016-07-12,5.17,5.01,5.01,AMD,20832500
65,5.01,5.01,2016-07-11,5.19,5.00,5.13,AMD,21027900
66,5.10,5.10,2016-07-08,5.15,4.82,4.84,AMD,28140700
67,5.02,5.02,2016-07-07,5.10,4.94,5.07,AMD,15813800
68,5.04,5.04,2016-07-06,5.11,4.90,4.91,AMD,19392900
69,4.96,4.96,2016-07-05,5.05,4.88,5.03,AMD,16332500
70,5.07,5.07,2016-07-01,5.14,5.00,5.09,AMD,18255900
71,5.14,5.14,2016-06-30,5.19,4.95,5.13,AMD,26124800
72,5.13,5.13,2016-06-29,5.40,5.10,5.31,AMD,33118300
73,5.12,5.12,2016-06-28,5.19,4.91,4.95,AMD,29221400
74,4.72,4.72,2016-06-27,5.05,4.65,4.88,AMD,31025300
75,4.88,4.88,2016-06-24,5.07,4.76,4.82,AMD,36735200
76,5.21,5.21,2016-06-23,5.26,5.05,5.17,AMD,29159200
77,5.02,5.02,2016-06-22,5.52,4.96,5.46,AMD,47943300
78,5.45,5.45,2016-06-21,5.50,5.09,5.10,AMD,35864600
79,5.10,5.10,2016-06-20,5.45,5.09,5.39,AMD,43541300
80,5.26,5.26,2016-06-17,5.27,4.68,4.75,AMD,64894100
81,4.75,4.75,2016-06-16,4.75,4.46,4.50,AMD,34182700
82,4.42,4.42,2016-06-15,4.48,4.30,4.44,AMD,11575300
83,4.39,4.39,2016-06-14,4.51,4.33,4.40,AMD,16757400
84,4.40,4.40,2016-06-13,4.48,4.32,4.32,AMD,13540900
85,4.32,4.32,2016-06-10,4.47,4.30,4.40,AMD,15106500
86,4.52,4.52,2016-06-09,4.54,4.32,4.41,AMD,16219100
87,4.46,4.46,2016-06-08,4.56,4.38,4.54,AMD,16074300
88,4.51,4.51,2016-06-07,4.67,4.47,4.56,AMD,20676200
89,4.47,4.47,2016-06-06,4.51,4.17,4.20,AMD,21329600
90,4.16,4.16,2016-06-03,4.20,4.08,4.16,AMD,17561800
