,Date,Open,Close,Adj_Close,High,Low,Symbol
0,2016-11-14,217.029999,216.589996,216.589996,217.270004,215.720001,SPY
1,2016-11-11,216.080002,216.419998,216.419998,216.699997,215.320007,SPY
2,2016-11-10,217.300003,216.919998,216.919998,218.309998,215.220001,SPY
3,2016-11-09,212.369995,216.380005,216.380005,217.100006,212.339996,SPY
4,2016-11-08,212.690002,214.110001,214.110001,214.770004,212.380005,SPY
5,2016-11-07,208.550003,213.149994,213.149994,213.190002,208.550003,SPY
6,2016-11-04,208.910004,208.550003,208.550003,209.889999,208.380005,SPY
7,2016-11-03,209.990005,208.779999,208.779999,210.240005,208.460007,SPY
8,2016-11-02,210.649994,209.740005,209.740005,211.100006,209.229996,SPY
9,2016-11-01,212.929993,211.009995,211.009995,212.990005,209.600006,SPY
10,2016-10-31,212.929993,212.550003,212.550003,213.190002,212.360001,SPY
11,2016-10-28,213.139999,212.539993,212.539993,213.929993,211.710007,SPY
12,2016-10-27,214.580002,213.169998,213.169998,214.619995,213.080002,SPY
13,2016-10-26,213.210007,213.740005,213.740005,214.419998,212.929993,SPY
14,2016-10-25,214.679993,214.169998,214.169998,214.979996,213.979996,SPY
15,2016-10-24,215.00,214.889999,214.889999,215.320007,214.479996,SPY
16,2016-10-21,213.880005,213.979996,213.979996,214.080002,212.759995,SPY
17,2016-10-20,213.869995,213.880005,213.880005,214.529999,213.110001,SPY
18,2016-10-19,214.020004,214.279999,214.279999,214.639999,213.600006,SPY
19,2016-10-18,214.240005,213.710007,213.710007,214.309998,213.270004,SPY
20,2016-10-17,213.089996,212.380005,212.380005,213.389999,212.169998,SPY
21,2016-10-14,214.149994,213.119995,213.119995,214.690002,213.029999,SPY
22,2016-10-13,212.160004,213.009995,213.009995,213.589996,211.210007,SPY
23,2016-10-12,213.589996,213.710007,213.710007,214.320007,213.009995,SPY
24,2016-10-11,215.660004,213.429993,213.429993,215.740005,212.580002,SPY
25,2016-10-10,216.160004,216.160004,216.160004,216.699997,215.990005,SPY
26,2016-10-07,216.100006,215.039993,215.039993,216.300003,214.190002,SPY
27,2016-10-06,215.369995,215.779999,215.779999,216.039993,214.740005,SPY
28,2016-10-05,215.410004,215.630005,215.630005,216.130005,215.330002,SPY
29,2016-10-04,215.910004,214.679993,214.679993,216.169998,213.990005,SPY
30,2016-10-03,215.820007,215.779999,215.779999,216.039993,215.039993,SPY
31,2016-09-30,215.649994,216.300003,216.300003,217.119995,215.360001,SPY
32,2016-09-29,216.399994,214.679993,214.679993,216.869995,214.039993,SPY
33,2016-09-28,215.830002,216.639999,216.639999,216.820007,214.710007,SPY
34,2016-09-27,214.050003,215.570007,215.570007,215.679993,213.619995,SPY
35,2016-09-26,215.020004,214.240005,214.240005,215.229996,214.009995,SPY
36,2016-09-23,216.720001,215.990005,215.990005,216.880005,215.880005,SPY
37,2016-09-22,217.00,217.179993,217.179993,217.529999,216.710007,SPY
38,2016-09-21,214.240005,215.820007,215.820007,216.029999,213.440002,SPY
39,2016-09-20,214.410004,213.419998,213.419998,214.589996,213.380005,SPY
40,2016-09-19,214.130005,213.410004,213.410004,214.880005,213.029999,SPY
41,2016-09-16,213.479996,213.369995,213.369995,213.690002,212.570007,SPY
42,2016-09-15,212.960007,215.279999,214.197992,215.729996,212.75,SPY
43,2016-09-14,213.289993,213.149994,212.078693,214.699997,212.50,SPY
44,2016-09-13,214.839996,213.229996,212.158293,215.149994,212.50,SPY
45,2016-09-12,212.389999,216.339996,215.252662,216.809998,212.309998,SPY
46,2016-09-09,216.970001,213.279999,212.208044,217.029999,213.25,SPY
47,2016-09-08,218.619995,218.509995,217.411754,218.940002,218.149994,SPY
48,2016-09-07,218.839996,219.009995,217.909241,219.220001,218.300003,SPY
49,2016-09-06,218.699997,219.029999,217.929145,219.119995,217.860001,SPY
50,2016-09-02,218.389999,218.369995,217.272458,218.869995,217.699997,SPY
51,2016-09-01,217.369995,217.389999,216.297388,217.729996,216.029999,SPY
52,2016-08-31,217.610001,217.380005,216.287444,217.75,216.470001,SPY
53,2016-08-30,218.259995,218.00,216.904323,218.589996,217.350006,SPY
54,2016-08-29,217.440002,218.360001,217.262514,218.669998,217.399994,SPY
55,2016-08-26,217.919998,217.289993,216.197885,219.119995,216.25,SPY
56,2016-08-25,217.399994,217.699997,216.605828,218.190002,217.220001,SPY
57,2016-08-24,218.800003,217.850006,216.755083,218.910004,217.360001,SPY
58,2016-08-23,219.25,218.970001,217.869449,219.600006,218.899994,SPY
59,2016-08-22,218.259995,218.529999,217.431658,218.800003,217.830002,SPY
60,2016-08-19,218.309998,218.539993,217.441602,218.75,217.740005,SPY
61,2016-08-18,218.339996,218.860001,217.760001,218.899994,218.210007,SPY
62,2016-08-17,218.00,218.369995,217.272458,218.529999,217.020004,SPY
63,2016-08-16,218.600006,217.960007,216.86453,218.679993,217.960007,SPY
64,2016-08-15,218.889999,219.089996,217.988841,219.50,218.880005,SPY
65,2016-08-12,218.289993,218.460007,217.362017,218.710007,217.990005,SPY
66,2016-08-11,218.259995,218.649994,217.55105,218.940002,217.949997,SPY
67,2016-08-10,218.309998,217.639999,216.546132,218.399994,217.229996,SPY
68,2016-08-09,218.130005,218.179993,217.083411,218.759995,217.800003,SPY
69,2016-08-08,218.399994,218.050003,216.954074,218.520004,217.740005,SPY
70,2016-08-05,216.410004,218.179993,217.083411,218.229996,216.410004,SPY
71,2016-08-04,216.309998,216.410004,215.322318,216.779999,214.25,SPY
72,2016-08-03,215.479996,216.179993,215.093463,216.25,215.130005,SPY
73,2016-08-02,216.649994,215.550003,214.46664,216.830002,214.570007,SPY
74,2016-08-01,217.190002,216.940002,215.849653,217.649994,216.410004,SPY
75,2016-07-29,216.460007,217.119995,216.028741,217.539993,216.130005,SPY
76,2016-07-28,216.289993,216.770004,215.680509,217.110001,215.75,SPY
77,2016-07-27,217.190002,216.520004,215.431766,217.270004,215.619995,SPY
78,2016-07-26,216.529999,216.75,215.660605,217.169998,215.759995,SPY
79,2016-07-25,217.00,216.649994,215.561102,217.059998,215.970001,SPY
80,2016-07-22,216.410004,217.240005,216.148148,217.300003,216.100006,SPY
81,2016-07-21,216.960007,216.270004,215.183022,217.220001,215.75,SPY
82,2016-07-20,216.190002,217.089996,215.998893,217.369995,216.190002,SPY
83,2016-07-19,215.919998,216.190002,215.103422,216.229996,215.630005,SPY
84,2016-07-18,215.970001,216.410004,215.322318,216.600006,215.669998,SPY
85,2016-07-15,216.779999,215.830002,214.745231,217.009995,215.309998,SPY
86,2016-07-14,216.399994,216.119995,215.033767,216.669998,215.660004,SPY
87,2016-07-13,215.440002,214.919998,213.839801,215.449997,214.350006,SPY
88,2016-07-12,214.529999,214.949997,213.869649,215.300003,213.429993,SPY
89,2016-07-11,213.190002,213.399994,212.327436,214.070007,212.949997,SPY
90,2016-07-08,211.050003,212.649994,211.581206,212.940002,210.779999,SPY
91,2016-07-07,209.869995,209.529999,208.476892,210.649994,208.630005,SPY
92,2016-07-06,207.830002,209.660004,208.606244,209.800003,207.059998,SPY
93,2016-07-05,208.949997,208.410004,207.362526,209.080002,207.710007,SPY
94,2016-07-01,209.479996,209.919998,208.864931,210.490005,209.289993,SPY
95,2016-06-30,207.210007,209.479996,208.42714,209.539993,206.559998,SPY
96,2016-06-29,204.839996,206.660004,205.621322,206.929993,204.720001,SPY
97,2016-06-28,201.479996,203.199997,202.178705,203.229996,201.119995,SPY
98,2016-06-27,201.589996,199.600006,198.596808,201.600006,198.649994,SPY
99,2016-06-24,203.630005,203.240005,202.218513,210.850006,202.720001,SPY
100,2016-06-23,209.809998,210.809998,209.750458,210.869995,209.270004,SPY
101,2016-06-22,208.649994,208.100006,207.054087,209.50,207.929993,SPY
102,2016-06-21,208.300003,208.440002,207.392374,208.919998,207.779999,SPY
103,2016-06-20,208.820007,207.850006,206.805343,209.610001,207.75,SPY
104,2016-06-17,207.169998,206.520004,205.482026,207.199997,205.75,SPY
105,2016-06-16,207.75,208.369995,206.250143,208.570007,205.589996,SPY
106,2016-06-15,208.039993,207.75,205.636455,209.360001,207.529999,SPY
107,2016-06-14,208.00,208.039993,205.923499,208.740005,206.919998,SPY
