,Date,Open,Close,Adj_Close,High,Low,Symbol
0,2016-11-14,6.83,6.79,6.79,6.84,6.61,AMD
1,2016-11-11,6.64,6.69,6.69,6.69,6.47,AMD
2,2016-11-10,6.82,6.30,6.30,6.91,6.22,AMD
3,2016-11-09,6.70,6.94,6.94,7.05,6.64,AMD
4,2016-11-08,6.85,7.00,7.00,7.18,6.75,AMD
5,2016-11-07,6.79,6.96,6.96,6.99,6.76,AMD
6,2016-11-04,6.69,6.56,6.56,6.72,6.46,AMD
7,2016-11-03,6.78,6.70,6.70,6.79,6.56,AMD
8,2016-11-02,7.03,6.76,6.76,7.06,6.67,AMD
9,2016-11-01,7.32,7.09,7.09,7.43,6.92,AMD
10,2016-10-31,7.24,7.23,7.23,7.46,7.20,AMD
11,2016-10-28,7.10,7.20,7.20,7.53,7.02,AMD
12,2016-10-27,7.44,7.11,7.11,7.46,7.10,AMD
13,2016-10-26,7.40,7.29,7.29,7.48,7.26,AMD
14,2016-10-25,6.90,7.50,7.50,7.50,6.87,AMD
15,2016-10-24,6.57,7.01,7.01,7.01,6.54,AMD
16,2016-10-21,6.50,6.52,6.52,6.65,6.37,AMD
17,2016-10-20,6.81,6.96,6.96,6.98,6.77,AMD
18,2016-10-19,6.70,6.77,6.77,6.80,6.57,AMD
19,2016-10-18,6.76,6.73,6.73,6.89,6.69,AMD
20,2016-10-17,6.92,6.67,6.67,6.97,6.64,AMD
21,2016-10-14,6.92,6.75,6.75,7.12,6.74,AMD
22,2016-10-13,6.50,6.49,6.49,6.54,6.24,AMD
23,2016-10-12,6.64,6.62,6.62,6.77,6.42,AMD
24,2016-10-11,6.80,6.50,6.50,6.84,6.38,AMD
25,2016-10-10,6.82,6.84,6.84,6.94,6.80,AMD
26,2016-10-07,6.92,6.75,6.75,6.96,6.62,AMD
27,2016-10-06,6.72,6.96,6.96,6.98,6.63,AMD
28,2016-10-05,6.97,6.78,6.78,7.01,6.70,AMD
29,2016-10-04,7.00,6.97,6.97,7.09,6.89,AMD
30,2016-10-03,6.95,6.95,6.95,7.15,6.87,AMD
31,2016-09-30,6.70,6.91,6.91,7.04,6.70,AMD
32,2016-09-29,6.57,6.67,6.67,6.73,6.54,AMD
33,2016-09-28,6.57,6.59,6.59,6.65,6.48,AMD
34,2016-09-27,6.45,6.54,6.54,6.58,6.29,AMD
35,2016-09-26,6.54,6.32,6.32,6.54,6.31,AMD
36,2016-09-23,6.31,6.55,6.55,6.65,6.31,AMD
37,2016-09-22,6.35,6.37,6.37,6.44,6.33,AMD
