,Date,Open,Close,Adj_Close,High,Low,Symbol
0,2012-11-26,19.690001,19.889999,17.422814,19.92,19.620001,INTC
1,2012-11-27,19.950001,19.93,17.457853,20.190001,19.92,INTC
2,2012-11-28,19.889999,20.09,17.598006,20.110001,19.639999,INTC
3,2012-11-29,19.83,19.530001,17.10747,20.040001,19.459999,INTC
4,2012-11-30,19.629999,19.57,17.142508,19.77,19.42,INTC
5,2012-12-03,19.879999,19.540001,17.11623,19.92,19.50,INTC
6,2012-12-04,19.629999,19.969999,17.492891,20.049999,19.610001,INTC
7,2012-12-05,19.940001,19.85,17.387777,20.02,19.74,INTC
8,2012-12-06,19.99,20.16,17.659323,20.290001,19.969999,INTC
9,2012-12-07,20.33,20.16,17.659323,20.360001,20.030001,INTC
10,2012-12-10,20.15,20.08,17.589247,20.17,19.98,INTC
11,2012-12-11,20.16,20.65,18.088543,20.74,20.15,INTC
12,2012-12-12,20.860001,20.67,18.106062,20.99,20.540001,INTC
13,2012-12-13,20.629999,20.49,17.94839,20.92,20.440001,INTC
14,2012-12-14,20.52,20.530001,17.983429,20.74,20.35,INTC
15,2012-12-17,20.549999,20.57,18.018466,20.690001,20.360001,INTC
16,2012-12-18,20.68,20.959999,18.360089,20.99,20.57,INTC
17,2012-12-19,21.07,21.10,18.482725,21.309999,20.860001,INTC
18,2012-12-20,21.209999,21.030001,18.421408,21.24,20.879999,INTC
19,2012-12-21,20.66,20.77,18.193658,20.85,20.48,INTC
20,2012-12-24,20.65,20.639999,18.079783,20.73,20.51,INTC
21,2012-12-26,20.74,20.65,18.088543,20.93,20.639999,INTC
22,2012-12-27,20.700001,20.51,17.965909,20.76,20.309999,INTC
23,2012-12-28,20.35,20.23,17.72064,20.49,20.209999,INTC
24,2012-12-31,20.25,20.620001,18.062265,20.66,20.16,INTC
25,2013-01-02,21.15,21.379999,18.727992,21.379999,21.049999,INTC
26,2013-01-03,21.40,21.32,18.675435,21.48,21.139999,INTC
27,2013-01-04,21.360001,21.16,18.535282,21.389999,21.049999,INTC
28,2013-01-07,21.280001,21.25,18.614118,21.450001,21.18,INTC
29,2013-01-08,21.23,21.09,18.473965,21.559999,21.02,INTC
30,2013-01-09,21.219999,21.450001,18.789311,21.469999,21.200001,INTC
31,2013-01-10,21.610001,21.799999,19.095895,21.82,21.530001,INTC
32,2013-01-11,21.799999,22.00,19.271087,22.07,21.77,INTC
33,2013-01-14,21.98,22.00,19.271087,22.129999,21.75,INTC
34,2013-01-15,21.950001,21.879999,19.165971,22.129999,21.780001,INTC
35,2013-01-16,21.91,22.110001,19.367443,22.200001,21.85,INTC
36,2013-01-17,22.120001,22.68,19.866739,23.059999,22.110001,INTC
37,2013-01-18,21.360001,21.25,18.614118,21.440001,21.030001,INTC
38,2013-01-22,21.280001,21.17,18.544042,21.290001,21.030001,INTC
39,2013-01-23,21.200001,21.110001,18.491485,21.219999,21.040001,INTC
40,2013-01-24,21.10,20.950001,18.351331,21.18,20.93,INTC
41,2013-01-25,21.040001,20.959999,18.360089,21.07,20.879999,INTC
42,2013-01-28,21.01,21.049999,18.438926,21.09,20.99,INTC
43,2013-01-29,21.09,21.280001,18.640398,21.299999,21.01,INTC
44,2013-01-30,21.290001,21.370001,18.719234,21.459999,21.219999,INTC
45,2013-01-31,21.299999,21.040001,18.430168,21.32,21.02,INTC
46,2013-02-01,21.190001,21.360001,18.710474,21.360001,21.09,INTC
47,2013-02-04,21.299999,21.16,18.535282,21.379999,21.15,INTC
48,2013-02-05,21.139999,21.18,18.752199,21.33,21.059999,INTC
49,2013-02-06,21.16,20.99,18.583978,21.200001,20.91,INTC
