,Date,Open,Close,Adj_Close,High,Low,Symbol
0,2012-11-26,50.849998,50.889999,24.06486,51.029999,50.490002,SBUX
1,2012-11-27,50.880001,50.209999,23.743302,51.459999,50.130001,SBUX
2,2012-11-28,50.189999,51.369999,24.291842,51.400002,49.900002,SBUX
3,2012-11-29,51.779999,51.799999,24.495181,52.310001,51.50,SBUX
4,2012-11-30,51.419998,51.869999,24.528282,52.009998,51.040001,SBUX
5,2012-12-03,52.139999,51.790001,24.490453,52.27,51.50,SBUX
6,2012-12-04,51.650002,51.119999,24.173622,51.98,50.939999,SBUX
7,2012-12-05,52.00,50.790001,24.017573,52.139999,49.560001,SBUX
8,2012-12-06,51.50,53.700001,25.393653,53.849998,51.189999,SBUX
9,2012-12-07,53.43,53.639999,25.36528,54.00,53.139999,SBUX
10,2012-12-10,53.52,52.959999,25.043722,53.700001,52.799999,SBUX
11,2012-12-11,53.330002,53.189999,25.152484,53.50,53.00,SBUX
12,2012-12-12,53.470001,53.599998,25.346364,54.189999,53.150002,SBUX
13,2012-12-13,53.50,53.18,25.147756,54.310001,52.950001,SBUX
14,2012-12-14,53.200001,53.360001,25.232874,53.75,53.060001,SBUX
15,2012-12-17,53.509998,54.580002,25.809788,54.669998,53.50,SBUX
16,2012-12-18,54.669998,54.34,25.696296,54.900002,54.279999,SBUX
17,2012-12-19,54.400002,54.27,25.663195,54.849998,54.130001,SBUX
18,2012-12-20,54.529999,54.209999,25.634821,54.610001,53.700001,SBUX
19,2012-12-21,53.049999,53.599998,25.346364,53.689999,52.59,SBUX
20,2012-12-24,53.369999,53.689999,25.388924,54.00,53.330002,SBUX
21,2012-12-26,53.619999,53.130001,25.124112,53.790001,52.880001,SBUX
22,2012-12-27,53.09,53.240002,25.176129,53.639999,52.709999,SBUX
23,2012-12-28,52.98,52.639999,24.8924,53.27,52.619999,SBUX
24,2012-12-31,52.41,53.630001,25.360552,53.669998,52.389999,SBUX
25,2013-01-02,54.59,55.00,26.008397,55.00,54.259998,SBUX
26,2013-01-03,55.07,55.369999,26.183362,55.610001,55.00,SBUX
27,2013-01-04,55.529999,55.689999,26.334684,56.00,55.310001,SBUX
28,2013-01-07,55.400002,55.720001,26.348871,55.790001,55.009998,SBUX
29,2013-01-08,55.580002,55.619999,26.301582,55.720001,55.07,SBUX
30,2013-01-09,55.889999,54.630001,25.833432,55.900002,54.330002,SBUX
31,2013-01-10,54.759998,54.540001,25.790873,55.169998,54.299999,SBUX
32,2013-01-11,55.110001,55.009998,26.013125,55.240002,54.439999,SBUX
33,2013-01-14,55.09,54.669998,25.852346,55.50,54.540001,SBUX
34,2013-01-15,54.630001,54.48,25.762499,54.790001,53.68,SBUX
35,2013-01-16,54.09,54.349998,25.701024,54.419998,53.959999,SBUX
36,2013-01-17,54.790001,54.50,25.771957,54.900002,54.220001,SBUX
37,2013-01-18,54.52,54.810001,25.918551,55.029999,54.150002,SBUX
38,2013-01-22,55.07,54.990002,26.003669,55.07,54.50,SBUX
39,2013-01-23,54.880001,54.459999,25.753041,54.93,54.200001,SBUX
40,2013-01-24,54.740002,54.57,25.805059,54.900002,54.060001,SBUX
41,2013-01-25,56.68,56.810001,26.86431,57.27,56.369999,SBUX
42,2013-01-28,56.84,56.02,26.490735,57.150002,55.849998,SBUX
43,2013-01-29,55.619999,55.599998,26.292124,56.009998,55.290001,SBUX
44,2013-01-30,55.759998,56.00,26.481277,56.200001,55.380001,SBUX
45,2013-01-31,55.880001,56.119999,26.538022,56.490002,55.75,SBUX
46,2013-02-01,56.57,56.860001,26.887954,57.099998,56.549999,SBUX
47,2013-02-04,56.349998,56.09,26.523836,56.709999,55.91,SBUX
48,2013-02-05,56.240002,56.200001,26.675727,56.450001,55.91,SBUX
49,2013-02-06,55.900002,56.049999,26.604528,56.290001,55.720001,SBUX
50,2013-02-07,56.049999,55.860001,26.514344,56.060001,55.150002,SBUX
51,2013-02-08,55.84,56.369999,26.756418,56.650002,55.84,SBUX
52,2013-02-11,56.52,56.139999,26.647247,56.52,55.860001,SBUX
53,2013-02-12,56.00,56.259998,26.704205,56.549999,55.950001,SBUX
54,2013-02-13,56.459999,55.830002,26.500104,56.459999,55.50,SBUX
55,2013-02-14,55.529999,55.549999,26.367199,55.810001,55.349998,SBUX
56,2013-02-15,55.610001,54.34,25.792865,55.700001,54.169998,SBUX
57,2013-02-19,54.360001,54.450001,25.845077,54.610001,54.02,SBUX
58,2013-02-20,54.599998,53.310001,25.303968,54.84,53.18,SBUX
59,2013-02-21,53.07,53.349998,25.322953,53.639999,52.52,SBUX
60,2013-02-22,53.700001,54.169998,25.712172,54.209999,53.279999,SBUX
61,2013-02-25,54.400002,53.209999,25.256502,54.709999,53.200001,SBUX
62,2013-02-26,53.43,53.279999,25.289728,53.860001,52.849998,SBUX
63,2013-02-27,53.25,54.57,25.902036,54.970001,53.080002,SBUX
64,2013-02-28,54.650002,54.849998,26.034939,55.169998,54.450001,SBUX
65,2013-03-01,54.630001,54.869999,26.044432,54.93,54.00,SBUX
66,2013-03-04,54.77,55.700001,26.438399,55.720001,54.66,SBUX
67,2013-03-05,56.00,56.509998,26.82287,56.799999,56.00,SBUX
68,2013-03-06,56.759998,57.099998,27.102917,57.490002,56.650002,SBUX
69,2013-03-07,57.099998,58.25,27.648774,58.50,57.09,SBUX
70,2013-03-08,58.669998,58.669998,27.848129,58.970001,58.150002,SBUX
71,2013-03-11,58.400002,58.610001,27.819651,58.93,58.330002,SBUX
72,2013-03-12,58.450001,58.279999,27.663013,58.549999,57.98,SBUX
73,2013-03-13,58.330002,58.59,27.810157,58.799999,58.279999,SBUX
74,2013-03-14,58.52,57.68,27.378219,58.75,57.41,SBUX
75,2013-03-15,57.360001,57.66,27.368726,57.860001,57.259998,SBUX
76,2013-03-18,57.060001,56.93,27.022226,57.419998,56.75,SBUX
77,2013-03-19,56.509998,56.830002,26.974762,56.98,55.959999,SBUX
78,2013-03-20,57.220001,57.43,27.259555,57.610001,57.00,SBUX
79,2013-03-21,57.299999,57.049999,27.079185,57.419998,56.75,SBUX
80,2013-03-22,57.299999,57.380001,27.235823,57.75,57.16,SBUX
81,2013-03-25,57.529999,56.689999,26.908308,57.830002,56.150002,SBUX
82,2013-03-26,56.990002,57.049999,27.079185,57.16,56.709999,SBUX
83,2013-03-27,56.860001,56.91,27.012733,56.950001,56.209999,SBUX
84,2013-03-28,56.93,56.950001,27.03172,57.259998,56.860001,SBUX
85,2013-04-01,57.130001,56.869999,26.993746,57.34,56.650002,SBUX
86,2013-04-02,57.189999,58.259998,27.653519,58.330002,57.150002,SBUX
87,2013-04-03,58.400002,57.700001,27.387713,58.900002,57.380001,SBUX
88,2013-04-04,57.610001,58.110001,27.582322,58.310001,57.610001,SBUX
89,2013-04-05,57.209999,57.799999,27.435178,57.880001,56.720001,SBUX
90,2013-04-08,57.830002,58.119999,27.587068,58.119999,57.459999,SBUX
91,2013-04-09,57.959999,57.41,27.250062,58.00,57.18,SBUX
92,2013-04-10,57.639999,57.799999,27.435178,58.310001,57.610001,SBUX
93,2013-04-11,57.950001,58.580002,27.805411,58.990002,57.799999,SBUX
94,2013-04-12,58.709999,59.09,28.047486,59.709999,58.599998,SBUX
95,2013-04-15,58.66,57.709999,27.392458,59.439999,57.599998,SBUX
96,2013-04-16,57.939999,58.560001,27.795918,58.939999,57.720001,SBUX
97,2013-04-17,58.029999,58.169998,27.6108,58.549999,57.650002,SBUX
98,2013-04-18,58.360001,57.720001,27.397206,58.48,57.50,SBUX
99,2013-04-19,57.580002,58.400002,27.719973,58.580002,57.540001,SBUX
100,2013-04-22,58.419998,58.639999,27.83389,58.869999,57.98,SBUX
101,2013-04-23,58.84,59.389999,28.189882,59.900002,58.779999,SBUX
102,2013-04-24,59.689999,59.830002,28.398733,59.970001,59.130001,SBUX
103,2013-04-25,60.00,60.50,28.716752,60.639999,59.91,SBUX
104,2013-04-26,59.299999,60.00,28.479424,60.389999,59.200001,SBUX
105,2013-04-29,60.349998,60.580002,28.754725,60.919998,60.130001,SBUX
106,2013-04-30,60.630001,60.84,28.878136,60.91,60.310001,SBUX
107,2013-05-01,60.549999,60.139999,28.545875,60.68,59.950001,SBUX
108,2013-05-02,60.439999,60.380001,28.659794,60.68,59.599998,SBUX
109,2013-05-03,60.849998,61.869999,29.367032,61.970001,60.700001,SBUX
110,2013-05-06,62.00,62.48,29.656573,62.48,61.919998,SBUX
111,2013-05-07,62.529999,62.189999,29.618472,62.529999,61.709999,SBUX
112,2013-05-08,62.34,62.41,29.723249,62.439999,61.73,SBUX
113,2013-05-09,62.66,62.360001,29.699437,62.900002,62.040001,SBUX
114,2013-05-10,62.57,63.099998,30.051867,63.189999,62.389999,SBUX
115,2013-05-13,63.200001,62.82,29.918515,63.23,62.610001,SBUX
116,2013-05-14,62.919998,63.52,30.251896,63.57,62.779999,SBUX
117,2013-05-15,63.32,64.07,30.513837,64.199997,63.220001,SBUX
118,2013-05-16,64.00,63.549999,30.266183,64.07,63.450001,SBUX
119,2013-05-17,63.77,64.129997,30.542411,64.139999,63.50,SBUX
120,2013-05-20,64.029999,63.830002,30.399536,64.610001,63.779999,SBUX
121,2013-05-21,64.040001,64.25,30.599564,64.459999,63.880001,SBUX
122,2013-05-22,64.150002,64.150002,30.551939,64.93,63.959999,SBUX
123,2013-05-23,63.689999,63.52,30.251896,63.82,63.029999,SBUX
124,2013-05-24,63.080002,63.360001,30.175695,63.400002,62.610001,SBUX
125,2013-05-28,64.209999,64.260002,30.604327,64.699997,64.040001,SBUX
126,2013-05-29,63.790001,63.630001,30.304284,64.099998,63.119999,SBUX
127,2013-05-30,63.869999,63.470001,30.228083,64.040001,63.459999,SBUX
128,2013-05-31,63.209999,63.139999,30.070917,64.349998,62.790001,SBUX
129,2013-06-03,63.259998,63.459999,30.22332,63.540001,62.619999,SBUX
130,2013-06-04,62.610001,63.330002,30.161407,64.139999,62.610001,SBUX
131,2013-06-05,63.040001,62.34,29.689911,63.299999,62.310001,SBUX
132,2013-06-06,62.349998,63.02,30.013767,63.060001,62.32,SBUX
133,2013-06-07,63.41,65.040001,30.975808,65.089996,63.41,SBUX
134,2013-06-10,65.660004,66.110001,31.485404,66.309998,65.480003,SBUX
135,2013-06-11,65.470001,65.419998,31.156784,66.110001,65.309998,SBUX
136,2013-06-12,65.82,64.449997,30.694814,66.00,64.260002,SBUX
137,2013-06-13,64.540001,65.970001,31.418728,66.190002,64.07,SBUX
138,2013-06-14,65.949997,65.599998,31.242511,66.669998,65.449997,SBUX
139,2013-06-17,66.190002,66.029999,31.447302,66.559998,65.709999,SBUX
140,2013-06-18,66.00,67.099998,31.956898,67.129997,65.949997,SBUX
141,2013-06-19,67.019997,66.410004,31.628282,67.480003,66.410004,SBUX
142,2013-06-20,65.82,65.220001,31.061534,66.32,65.040001,SBUX
143,2013-06-21,65.709999,64.690002,30.809118,65.919998,64.230003,SBUX
144,2013-06-24,64.00,64.010002,30.485263,64.580002,63.18,SBUX
145,2013-06-25,64.529999,64.739998,30.832929,65.360001,64.440002,SBUX
146,2013-06-26,65.370003,65.800003,31.337765,66.709999,64.889999,SBUX
147,2013-06-27,66.269997,65.690002,31.285376,66.50,65.650002,SBUX
148,2013-06-28,65.510002,65.510002,31.19965,66.25,65.400002,SBUX
149,2013-07-01,66.089996,66.239998,31.547316,66.489998,65.82,SBUX
150,2013-07-02,66.239998,66.790001,31.809259,67.199997,66.080002,SBUX
151,2013-07-03,66.43,67.300003,32.052151,67.68,66.400002,SBUX
152,2013-07-05,67.870003,67.720001,32.252179,68.00,66.900002,SBUX
153,2013-07-08,67.940002,68.290001,32.523646,68.82,67.879997,SBUX
154,2013-07-09,68.900002,68.129997,32.447443,69.00,67.989998,SBUX
155,2013-07-10,67.870003,68.099998,32.433156,68.120003,67.449997,SBUX
156,2013-07-11,68.68,69.339996,33.023714,69.519997,68.349998,SBUX
157,2013-07-12,69.239998,69.720001,33.204694,69.720001,68.779999,SBUX
158,2013-07-15,69.690002,69.660004,33.17612,69.900002,69.529999,SBUX
159,2013-07-16,69.639999,69.519997,33.109441,69.720001,69.080002,SBUX
160,2013-07-17,69.739998,68.199997,32.480781,69.82,67.889999,SBUX
161,2013-07-18,68.449997,68.480003,32.614136,69.010002,68.040001,SBUX
